,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,WindDir {deg},,,,,,,
ETRN,DNI,DHI,Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Dry-Bulb,Dew-Point,Relative Humidity {%},wspd,,,,,,,,,Wind Direction {deg},,,,,,,
0,0,0,999900,999900,1.1,-2.2,77,1.5,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,1.1,-2.2,77,1.5,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,0.9,-2.5,76,2,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,0.8,-2.8,75,2.6,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,0.6,-3.3,73,3.1,,,,,,,,,90,,,,,,,
0,0,0,999900,999900,0.2,-3.2,75,2.4,,,,,,,,,73,,,,,,,
0,0,0,999900,999900,-0.1,-3.2,77,1.7,,,,,,,,,57,,,,,,,
0,0,43,999900,999900,-0.6,-3.3,80,1,,,,,,,,,40,,,,,,,
614,352,182,999900,999900,2.4,-3,66,1.5,,,,,,,,,67,,,,,,,
778,638,213,999900,999900,5.3,-2.9,54,2.1,,,,,,,,,93,,,,,,,
907,733,208,999900,999900,8.3,-2.8,44,2.6,,,,,,,,,120,,,,,,,
996,787,172,999900,999900,9.8,-2.7,40,2.2,,,,,,,,,110,,,,,,,
1042,797,129,999900,999900,11.3,-2.7,36,1.9,,,,,,,,,100,,,,,,,
1043,744,92,999900,999900,12.8,-2.8,33,1.5,,,,,,,,,90,,,,,,,
999,649,53,999900,999900,13.2,-3.1,31,1,,,,,,,,,60,,,,,,,
912,389,59,999900,999900,13.5,-3.4,30,0.5,,,,,,,,,30,,,,,,,
785,76,33,999900,999900,13.9,-3.9,28,0,,,,,,,,,0,,,,,,,
623,0,0,999900,999900,11.7,-3.1,34,0.5,,,,,,,,,13,,,,,,,
0,0,0,999900,999900,9.4,-2.3,43,1,,,,,,,,,27,,,,,,,
0,0,0,999900,999900,7.2,-1.7,52,1.5,,,,,,,,,40,,,,,,,
0,0,0,999900,999900,6.1,-1,60,2,,,,,,,,,67,,,,,,,
0,0,0,999900,999900,5,-0.5,67,2.6,,,,,,,,,93,,,,,,,
0,0,0,999900,999900,3.9,0,76,3.1,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,3.3,-0.3,77,2.9,,,,,,,,,113,,,,,,,
0,0,0,999900,999900,2.8,-0.6,78,2.8,,,,,,,,,107,,,,,,,
0,0,0,999900,999900,2.2,-1.1,78,2.6,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,1.8,-1.2,80,3.1,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,1.5,-1.4,80,3.6,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,1.1,-1.7,80,4.1,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,0.9,-1.6,82,3.8,,,,,,,,,93,,,,,,,
0,0,0,999900,999900,0.8,-1.6,83,3.4,,,,,,,,,87,,,,,,,
0,0,44,999900,999900,0.6,-1.7,83,3.1,,,,,,,,,80,,,,,,,
614,433,178,999900,999900,3.9,-1,70,3.1,,,,,,,,,83,,,,,,,
778,716,195,999900,999900,7.3,-0.5,57,3.1,,,,,,,,,87,,,,,,,
907,803,182,999900,999900,10.6,0,48,3.1,,,,,,,,,90,,,,,,,
996,853,141,999900,999900,12.1,-0.5,42,2.8,,,,,,,,,107,,,,,,,
1043,862,95,999900,999900,13.5,-1,36,2.4,,,,,,,,,123,,,,,,,
1044,812,55,999900,999900,15,-1.7,31,2.1,,,,,,,,,140,,,,,,,
1001,723,17,999900,999900,15.2,-2,30,1.4,,,,,,,,,93,,,,,,,
914,471,26,999900,999900,15.4,-2.3,29,0.7,,,,,,,,,47,,,,,,,
787,131,19,999900,999900,15.6,-2.8,27,0,,,,,,,,,0,,,,,,,
625,0,0,999900,999900,13.7,-1.6,34,0.7,,,,,,,,,337,,,,,,,
0,0,0,999900,999900,11.9,-0.4,42,1.4,,,,,,,,,313,,,,,,,
0,0,0,999900,999900,10,0.6,52,2.1,,,,,,,,,290,,,,,,,
0,0,0,999900,999900,8,0.8,60,2.4,,,,,,,,,347,,,,,,,
0,0,0,999900,999900,5.9,0.9,70,2.8,,,,,,,,,43,,,,,,,
0,0,0,999900,999900,3.9,1.1,82,3.1,,,,,,,,,100,,,,,,,
0,0,0,999900,999900,4.1,0.7,78,2.9,,,,,,,,,107,,,,,,,
0,0,0,999900,999900,4.2,0.4,76,2.8,,,,,,,,,113,,,,,,,
0,0,0,999900,999900,4.4,0,73,2.6,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,3.9,-0.1,75,3.1,,,,,,,,,117,,,,,,,
0,0,0,999900,999900,3.3,-0.3,77,3.6,,,,,,,,,113,,,,,,,
0,0,0,999900,999900,2.8,-0.6,78,4.1,,,,,,,,,110,,,,,,,
0,0,0,999900,999900,3.2,-0.1,79,3.9,,,,,,,,,103,,,,,,,
0,0,0,999900,999900,3.5,0.2,79,3.8,,,,,,,,,97,,,,,,,
0,0,26,999900,999900,3.9,0.6,79,3.6,,,,,,,,,90,,,,,,,
613,5,95,999900,999900,4.6,1.9,83,4.3,,,,,,,,,90,,,,,,,
778,12,121,999900,999900,5.4,3.1,85,5,,,,,,,,,90,,,,,,,
907,5,103,999900,999900,6.1,4.4,89,5.7,,,,,,,,,90,,,,,,,
997,4,221,999900,999900,8,4.8,80,4.3,,,,,,,,,143,,,,,,,
1044,19,320,999900,999900,9.8,5.2,73,2.9,,,,,,,,,197,,,,,,,
1045,259,243,999900,999900,11.7,5.6,66,1.5,,,,,,,,,250,,,,,,,
1002,299,170,999900,999900,11.9,5,63,1.7,,,,,,,,,243,,,,,,,
916,225,109,999900,999900,12,4.5,60,1.9,,,,,,,,,237,,,,,,,
789,276,0,999900,999900,12.2,3.9,57,2.1,,,,,,,,,230,,,,,,,
627,0,0,999900,999900,11.1,3.9,61,1.9,,,,,,,,,257,,,,,,,
0,0,0,999900,999900,10,3.9,66,1.7,,,,,,,,,283,,,,,,,
0,0,0,999900,999900,8.9,3.9,71,1.5,,,,,,,,,310,,,,,,,
0,0,0,999900,999900,7.4,3.5,76,1,,,,,,,,,327,,,,,,,
0,0,0,999900,999900,5.9,3.2,83,0.5,,,,,,,,,343,,,,,,,
0,0,0,999900,999900,4.4,2.8,89,0,,,,,,,,,0,,,,,,,
0,0,0,999900,999900,3.9,2.4,90,0.5,,,,,,,,,43,,,,,,,
0,0,0,999900,999900,3.3,2.1,92,1,,,,,,,,,87,,,,,,,
0,0,0,999900,999900,2.8,1.7,92,1.5,,,,,,,,,130,,,,,,,
0,0,0,999900,999900,2.2,1.1,92,1.7,,,,,,,,,127,,,,,,,
0,0,0,999900,999900,1.7,0.6,92,1.9,,,,,,,,,123,,,,,,,
0,0,0,999900,999900,1.1,0,92,2.1,,,,,,,,,120,,,,,,,
0,0,0,999900,999900,1.1,0.2,94,1.9,,,,,,,,,107,,,,,,,
0,0,0,999900,999900,1.1,0.4,95,1.7,,,,,,,,,93,,,,,,,
0,0,45,999900,999900,1.1,0.6,96,1.5,,,,,,,,,80,,,,,,,
613,332,188,999900,999900,4.3,1.1,80,2,,,,,,,,,67,,,,,,,
778,619,222,999900,999900,7.4,1.7,67,2.6,,,,,,,,,53,,,,,,,
907,715,220,999900,999900,10.6,2.2,56,3.1,,,,,,,,,40,,,,,,,
998,769,184,999900,999900,12.3,1.7,48,2.9,,,,,,,,,357,,,,,,,
1045,779,142,999900,999900,13.9,1.1,42,2.8,,,,,,,,,313,,,,,,,
1047,726,103,999900,999900,15.6,0.6,36,2.6,,,,,,,,,270,,,,,,,
1004,629,64,999900,999900,15.6,0.8,37,3.1,,,,,,,,,263,,,,,,,
918,371,67,999900,999900,15.6,0.9,37,3.6,,,,,,,,,257,,,,,,,
791,62,38,999900,999900,15.6,1.1,37,4.1,,,,,,,,,250,,,,,,,
630,0,0,999900,999900,13.5,1.3,43,4.1,,,,,,,,,243,,,,,,,
0,0,0,999900,999900,11.5,1.5,50,4.1,,,,,,,,,237,,,,,,,
0,0,0,999900,999900,9.4,1.7,59,4.1,,,,,,,,,230,,,,,,,
